레시피_아이디,재료_아이디,재료_이름,레시피_재료_순번,내용
1025732,332,단호박,2,1개
1025732,424,흰밥,3,2인분
1025732,226,설탕,4,약간
1028705,300,닭다리,1,6개
1028705,614,월계수잎,2,4장
1028705,866,통후추,3,0.5큰술
1028705,253,로즈마리,4,2줄기
1028705,218,우유,5,1컵
1028705,234,밀가루,6,3큰술
1028705,219,달걀,7,1개
1028705,440,빵가루,8,1컵
1028705,218,우유,9,1큰술
1028705,501,소금,10,약간
1028705,225,후춧가루,11,약간
1058215,729,코다리,1,2마리
1058215,296,청양고추,2,2개
1058215,344,멸치육수,3,1.5컵
1058215,383,간장,4,4큰술
1058215,293,맛술,5,2큰술
1058215,855,청주,6,2큰술
1058215,226,설탕,7,1큰술
1058215,345,물엿,8,2큰술
1058215,233,다진 마늘,9,0.5큰술
1058215,27,생강즙이나 가루,10,약간
1058215,436,포도씨오일,11,2큰술
1135209,193,호두,1,70g
1135209,219,달걀 흰자,2,1개
1135209,226,설탕,3,40g
1135209,234,밀가루,4,1큰술
1176470,4,감자,2,1개
1176470,8,당근,3,1개
1176470,466,건표고버섯,4,1줌
1176470,2,양파,5,1/2개
1176470,5,짜투리색색 파프리카,6,조금
1176470,855,청주,7,1큰술
1176470,225,후춧가루,8,조금
1176470,477,고추장,9,3큰술
1176470,224,고춧가루,10,2큰술
1176470,28,마늘(다지기),11,3알
1176470,383,간장,12,1큰술
1176470,530,황설탕,13,2큰술
1176470,855,청주,14,2큰술
1176470,462,생강즙,15,1작은술
1176470,666,참기름,16,1/2큰술
1176470,225,후춧가루,17,조금
1188746,16,마늘쫑,1,4줌
1188746,283,굵은소금,2,0.5T
1188746,477,고추장,3,2T
1188746,224,고춧가루,4,2T
1188746,383,간장,5,1T
1188746,345,물엿,6,1T
1188746,226,설탕,7,0.5T
1188746,233,다진 마늘,8,0.5T
1188746,666,참기름,9,0.5T
1188746,547,통깨,10,0.5T
1241213,4,감자,1,1개
1241213,6,애호박,2,1/4개
1241213,327,두부,3,50g
1241213,2,양파,4,1/2개
1241213,649,풋고추,5,1개
1241213,26,대파,6,1/2대
1241213,1005,물,7,2컵
1241213,89,다시마,8,1조각
1241213,323,멸치,9,10마리
1241213,857,된장,10,2큰술
1241213,224,고춧가루,11,1/2큰술
1241213,233,다진마늘,12,1작은술
1241213,353,국간장,13,약간
1241213,501,소금,14,약간
1254054,424,밥,1,1공기
1254054,2,양파,2,1/2개
1254054,78,새우,3,100g
1254054,202,슬라이스 체다치즈,4,1/2장
1254054,766,송송 썬 쪽파,5,2큰술
1254054,874,시판스파게티소스,6,150ml
1254054,218,생크림이나 우유,7,2큰술
1254054,197,버터,8,2작은술
1256007,234,강력분,1,200g
1256007,234,박력분,2,50g
1256007,572,인스턴트 드라이 이스트,3,7g
1256007,219,달걀,4,1개
1256007,218,우유,5,60g
1256007,1005,물,6,35g
1256007,218,굽기전 발라줄 우유,7,약간
1256007,226,설탕,8,40g
1256007,501,소금,9,4g
1256007,197,버터,10,25g
1288231,28,마늘,1,2통
1288231,684,잔멸치,2,100그램
1288231,580,올리고당,4,1.5~2숟가락
1288231,354,깨소금,5,약간
1376680,683,취청오이 큰 것,1,1개
1376680,224,고춧가루,2,1숟가락
1376680,383,간장,3,2숟가락
1376680,233,다진 마늘,4,0.5숟가락
1376680,226,설탕,5,0.5숟가락
1376680,501,소금,6,약간
1376680,666,참기름,7,1숟가락
1376680,547,통깨,8,1숟가락
1395916,126,오리,1,1마리
1395916,29,부추,2,1줌
1395916,2,양파,3,1개
1395916,2,양파,4,1/2개
1395916,224,고춧가루,5,5큰술
1395916,477,고추장,6,3큰술
1395916,383,간장,7,4큰술
1395916,501,소금,8,1/2큰술
1395916,345,물엿,9,3큰술
1395916,226,설탕,10,2큰술
1395916,233,다진마늘,11,1큰술
1395916,225,후추,12,1티스푼
1395916,459,생강가루,13,1티스푼
1441518,283,굵은 소금,2,1/2ts
1441518,225,후추,3,약간
1441518,293,맛술,4,2Ts
1441518,579,올리브 오일,5,2Ts
1441518,755,진간장,6,6Ts
1441518,1005,물,7,6Ts
1441518,293,맛술,8,6Ts
1441518,226,설탕,9,1Ts
1441518,345,물엿,10,2Ts
1441518,27,생강,11,1/2톨
1525713,368,미숫가루,1,120g
1525713,218,우유,2,100g
1525713,219,달걀,3,100g
1525713,377,베이킹파우더,4,4g
1525713,193,호두,5,50g
1525713,197,버터,6,100g
1525713,530,황설탕,7,60g
1525713,345,물엿,8,50g
1525724,219,계란 노른자,1,2개
1525724,234,박력분,2,140g
1525724,377,베이킹 파우더,3,5g
1525724,207,크림치즈,4,160g
1525724,226,설탕,5,90g
1525724,197,버터,6,60g
1526299,752,차돌박이,1,150g
1526299,4,감자(중),2,1개
1526299,6,애호박,3,1/3개
1526299,2,양파,4,1/2개
1526299,26,대파,5,1/3대
1526299,296,청양고추,6,1개
1526299,327,두부,7,1/2모
1526299,344,멸치다시마육수,8,4컵
1526299,233,다진 마늘,9,1큰술
1526299,855,청주,10,1큰술
1526299,293,맛술,11,1큰술
1526299,353,국간장,12,2큰술
1526299,477,고추장,13,1큰술
1526299,857,된장,14,0.5큰술
1526299,224,고춧가루,15,1큰술
1526299,501,소금,16,약간
1526299,225,후춧가루,17,적당량
1573002,20,양배추,1,
1573002,233,다진마늘,2,
1573002,224,고춧가루,3,
1573002,296,다진청양고추,4,
1573002,354,깨소금,5,약간
1573002,337,멸치액젓,6,
1573002,666,참기름,7,
1579656,643,스팸,1,2/3캔(약140g)
1579656,29,부추,2,1줌
1579656,219,계란,3,3개
1579656,579,올리브유(식용유),4,약간
1586811,502,순두부,1,2/3개
1586811,491,돼지고기,2,조금
1586811,83,바지락,3,6~7개
1586811,962,김치,4,조금
1586811,2,양파,5,1/2개
1586811,26,파,6,1/3개
1586811,55,느타리버섯,7,1줌
1586811,33,홍고추,8,1개
1586811,296,청양고추,9,1개
1586811,219,계란,10,1개
1586811,666,참기름,11,1스푼
1586811,224,고춧가루,12,1/2스푼
1586811,394,새우젓,13,2/3스푼
1586811,233,다진마늘,14,1/2스푼
1586811,383,집간장,15,1스푼
1607382,234,박력분,1,200g
1607382,218,차가운 우유,2,40ml
1607382,1005,차가운 물,3,40ml
1607382,197,버터,4,160g
1607382,550,슈가파우더,5,20g
1607382,501,소금,6,2g
1651976,1005,물,1,5컵
1651976,323,멸치,2,20g
1651976,89,다시마,3,1장(10 * 10cm)
1651976,2,양파,5,1/4개
1651976,26,대파,6,
1651976,33,홍고추,7,
1651976,219,계란,8,1개
1651976,94,김,9,약간
1651976,347,미림,10,1큰술(or 청주 1큰술)
1651976,233,다진마늘,11,1큰술
1651976,353,국간장,12,0.5큰술
1651976,501,소금,13,약간
1651976,225,후추,14,약간
1659103,125,닭,1,1마리(도리탕용)
1659103,383,간장,2,3큰술
1659103,293,맛술,3,3큰술
1659103,481,굴소스,4,1큰술
1659103,226,설탕,5,1/2큰술
1659103,227,꿀,6,1큰술
1659103,1005,물,7,3큰술
1659103,666,참기름,8,1큰술
1659103,225,후추,9,약간
1659103,28,마늘,10,3~4쪽(저민 것)
1665303,61,절단동태,1,4조각
1665303,18,무 3센티,2,1토막
1665303,26,대파,3,1/3대
1665303,33,홍고추,4,1/2개
1665303,296,청양고추,5,1개
1665303,1005,물,6,3+1/2컵
1665303,366,디포리,7,10마리
1665303,26,대파뿌리,8,2개
1665303,28,통마늘,9,3개
1665303,224,고춧가루 듬뿍,10,1큰술
1665303,233,다진 마늘,11,1/2큰술
1665303,288,까나리액젓,12,1큰술
1665303,501,소금,13,약간
1665303,344,멸치육수,14,3컵
1724317,424,밥,1,0.8공기
1724317,219,계란,2,1.5개
1724317,634,햄,3,20g
1724317,8,당근,4,15g
1724317,329,호박,5,15g
1724317,2,양파,6,1/4개
1724317,732,케찹,7,1큰술
1724317,501,소금,8,약간
1724317,508,오일,9,적당히
1724317,732,케찹,10,1.5큰술
1724317,1020,돈까스소스,11,1.5큰술
1724317,1005,물,12,2큰술
1724317,580,요리당,13,0.5큰술
1724317,225,후춧가루,14,약간
1730369,53,양송이 버섯,1,6개
1730369,2,양파,2,1/3개
1730369,489,생크림,3,150ml
1730369,218,우유,4,150ml
1730369,234,밀가루,5,2스푼
1730369,197,버터,6,
1730369,501,소금,7,약간
1730369,225,후추,8,약간
1762281,762,우렁,1,100g
1762281,52,표고버섯,2,3개
1762281,2,양파,3,30g
1762281,329,호박,4,30g
1762281,33,홍고추,5,1개
1762281,33,청고추,6,1개
1762281,885,쌀뜨물,7,1/2컵
1762281,26,대파,8,1/2대
1762281,293,맛술,9,1큰술
1762281,666,참기름,10,1작은술
1762281,225,후추,11,약간
1762281,857,집된장,12,2큰술
1762281,477,고추장,13,1큰술
1762281,224,고추가루,14,1/2큰술
1762281,228,마요네즈,15,1큰술
1762281,233,다진마늘,16,1작은술
1762281,666,참기름,17,2작은술
1785098,1005,물,1,2컵(250ml 기준)
1785098,491,돼지고기 찌개용(or 목살),2,250g
1785098,932,신김치,3,200g
1785098,962,김칫국물,4,5큰술
1785098,666,참기름,5,1작은술
1785098,2,양파,6,1/2개
1785098,33,청고추,7,2개
1785098,26,대파,8,약간
1785098,477,고추장,9,1큰술
1785098,347,미림,10,1큰술
1785098,353,국간장,11,1/2큰술
1785098,501,소금,12,1꼬집
1785098,233,다진마늘,13,1큰술
1785098,353,국간장,14,1/2큰술
1785098,225,후추,15,약간
1787453,64,오징어,1,1마리
1787453,18,무,2,
1787453,323,멸치,3,
1787453,89,다시마,4,
1787453,366,디포리,5,
1787453,233,다진마늘,6,
1787453,501,소금,7,
1787453,26,대파,8,
1796132,46,콩나물,1,200g
1796132,499,쇠고기,2,1컵
1796132,8,당근,3,약간
1796132,424,밥,4,4공기
1796132,383,간장,5,1T
1796132,855,청주,6,1T
1796132,233,다진 마늘,7,0.3T
1796132,226,설탕,8,0.3T
1796132,225,후춧가루,9,약간
1796132,383,간장,10,3T
1796132,293,맛술,11,1T
1796132,26,다진 파,12,1T
1796132,233,다진 마늘,13,0.5T
1796132,649,다진 풋고추,14,1T
1796132,33,다진 홍고추,15,0.5T
1796132,224,고춧가루,16,0.5T
1796132,666,참기름,17,1T
1796132,547,통깨,18,1T
1797023,219,달걀흰자,1,1개
1797023,530,황설탕,2,25g
1797023,234,박력분,3,1큰술
1797023,197,버터,4,20g
1797023,696,아몬드슬라이스,5,80g
1806582,300,닭다리살,1,10~11조각
1806582,387,전분가루,2,적당량
1806582,225,후추가루,3,약간
1806582,383,간장,4,2큰술
1806582,227,꿀,5,1큰술
1806582,226,설탕,6,1큰술
1824346,962,김치 썬 것,1,2컵
1824346,2,양파(큰것),2,1/2개
1824346,567,참치통조림,3,1통(150g)
1824346,962,김치국물,4,1/3컵
1824346,424,밥,5,2공기
1824346,219,달걀,6,2개
1824346,666,참기름,7,1큰술
1824346,547,통깨,8,1큰술
1824346,26,송송 썬 파,9,3큰술
1824346,477,고추장,10,1큰술
1824346,293,맛술,11,2큰술
1824346,28,다진 마늘,12,0.5큰술
1824346,224,고춧가루,13,0.5큰술
1824346,345,물엿,14,1큰술
1824346,1005,물,15,1/2컵
1826770,1,시금치,1,1단
1826770,344,멸치다시마육수,2,1.5리터
1826770,857,된장 듬뿍,3,3큰술
1826770,83,바지락,4,1봉지(150g)
1826770,26,대파,5,1/4대
1831127,78,자숙새우,1,250g
1831127,387,녹말가루,2,3T
1831127,219,계란흰자,3,1개
1831127,501,소금,4,약간
1831127,225,후춧가루,5,약간
1831127,387,녹말가루,6,2T
1831127,508,튀김기름,7,적당량
1831127,233,다진마늘,8,1T
1831127,477,고추장,9,1t
1831127,732,케찹,10,2T
1831127,855,청주,11,1T
1831127,345,물엿,12,1T
1831127,231,식초,13,1t
1831127,1005,물,14,1T
1831127,226,설탕,15,1t
1832331,552,사각어묵,1,4장
1832331,219,삶은 계란,2,3개
1832331,477,고추장,3,2큰술
1832331,732,케첩,4,1/2큰술
1832331,226,설탕,5,1/2큰술
1832331,383,간장,6,1/2작은술
1832331,345,물엿,7,2/3큰술
1832331,233,다진 마늘,8,1작은술
1832331,344,멸치육수,9,1컵
1839398,26,다진파,2,3큰술
1839398,224,고추가루,3,2큰술
1839398,233,다진마늘,4,1큰술
1839398,666,참기름,5,2큰술
1839398,291,깨,6,2큰술
1839398,852,매실액,7,1큰술
1839459,78,새우,1,30마리
1839459,387,녹말,2,2/3컵
1839459,219,계란흰자,3,1개분
1839459,1005,물,4,적당량
1839459,508,튀김기름,5,적당히
1839459,501,소금,6,약간
1839459,225,후춧가루,7,약간
1839459,293,맛술,8,1큰술
1839459,2,다진 양파,9,3큰술
1839459,26,다진 파,10,2큰술
1839459,296,청양고추,11,2개
1839459,33,홍고추,12,1개
1839459,233,다진마늘,13,1큰술
1839459,383,간장,14,1큰술
1839459,481,굴소스,15,2큰술
1839459,293,맛술,16,2큰술
1839459,231,식초,17,2큰술
1839459,226,설탕,18,3큰술
1839459,225,후춧가루,19,약간
1839459,508,볶음용 오일,20,2큰술
1850302,499,쇠고기 장조림용,1,400g
1850302,1005,물,2,3컵
1850302,383,간장,3,8큰술
1850302,226,설탕,4,2큰술
1850302,293,맛술,5,2큰술
1850302,345,물엿,6,1큰술
1850302,866,통후추,7,약간
1850302,28,깐마늘,8,5개
1850302,296,청양고추,9,2개
1850302,26,대파,10,1/3대
1883972,125,닭,1,1마리
1883972,2,양파 (중),2,1/2개
1883972,26,대파,3,1개
1883972,296,청양고추,4,2~3개
1883972,990,다시마물,5,
1883972,477,고추장,6,2T
1883972,383,간장,7,3T
1883972,224,고춧가루,8,3T
1883972,481,매운굴소스,9,1T
1883972,226,설탕,10,1T
1883972,855,청주,11,1T
1883972,233,다진마늘,12,1T
1883972,225,후춧가루,13,약간
1894779,197,버터,1,100g
1894779,207,크림치즈,2,190g
1894779,219,계란,3,3개
1894779,234,박력분,4,200g
1894779,377,베이킹 파우더,5,3g
1894779,226,설탕,6,170g
1894779,501,소금,7,1꼬집
1920317,778,쥐포,1,
1920317,579,올리브유,2,
1920317,228,마요네즈,3,
1920317,477,고추장,4,1스푼
1920317,227,꿀,5,2/3스푼
1920317,666,참기름,6,약간
1964300,26,대파,2,1뿌리
1964300,508,식용유,3,조금
1964300,501,소금,4,조금
1964300,383,간장,5,4큰술
1964300,226,설탕,6,1큰술
1964300,855,청주,7,2큰술
1964300,345,물엿,8,1+1/2큰술
1973282,981,떡볶이떡,1,360g
1973282,552,종합 어묵,2,130g
1973282,445,라면사리,3,
1973282,437,소시지,4,
1973282,20,양배추,5,
1973282,8,당근,6,
1973282,26,대파,7,
1973282,219,삶은계란,8,
1973282,477,시판 고추장,9,4T
1973282,224,고춧가루,10,1T
1973282,580,올리고당,11,2T
1973282,226,설탕,12,1T
1973282,383,간장,13,11/2T
1973282,233,다진 마늘,14,1T
1973282,293,맛술,15,1T
1973282,561,춘장,16,2/3T
1973282,547,통깨,17,약간
1973282,666,참기름,18,약간
1973282,225,후추,19,약간
1991671,293,맛술,2,1큰술
1991671,508,식용유,3,2큰술
1991671,1005,물,4,적당량
1991671,547,통깨,5,약간
1991671,755,진간장,6,4큰술
1991671,477,고추장,7,2큰술
1991671,947,매실청,8,3큰술
1991671,580,올리고당,9,2큰술
1991671,293,맛술,10,1큰술
1991671,233,다진마늘,11,1큰술
1991671,225,후춧가루,12,약간
1991671,1005,물,13,5큰술
1997270,117,돼지고기목살,1,450g
1997270,14,깻잎,2,10장
1997270,551,양조간장,3,3큰술
1997270,947,매실청,4,3큰술
1997270,293,맛술,5,1큰술
1997270,580,올리고당,6,1큰술
1997270,461,다진생강,7,1작은술
1997270,233,다진마늘,8,1작은술
1997270,225,후춧가루,9,약간
2317685,576,오징어채,1,3줌
2317685,508,오일,2,3큰술
2317685,383,간장,3,2큰술
2317685,580,올리고당,4,4큰술
2317685,228,마요네즈,5,1/3큰술
2317685,291,깨,6,1큰술
2328895,207,크림치즈,1,350g
2328895,489,생크림,2,70g
2328895,904,사워크림(플레인 요구르트),3,120g
2328895,226,설탕,4,65g
2328895,219,달걀,5,2개
2328895,234,박력분,6,4큰술
2328895,197,버터,8,85g
2342071,19,미나리,1,1단
2342071,857,된장,2,1
2342071,947,매실청,3,1
2342071,354,깨소금,4,1
2360672,219,달걀,1,2개
2360672,2,양파,2,1/2개
2360672,643,캔햄,3,약간
2360672,424,밥,4,2공기
2360672,477,고추장,5,1Ts
2360672,226,설탕,6,0.3Ts
2360672,383,간장,7,1Ts
2360672,481,굴소스,8,1Ts
2360672,237,고추기름,9,1Ts
2360672,225,후춧가루,10,약간
2360672,666,참기름,11,1Ts
2399193,305,불린 당면,1,1줌(150g 정도)
2399193,78,새우,2,20마리
2399193,2,양파,3,1/2개
2399193,26,대파,4,1/2대
2399193,233,다진마늘,5,1큰술
2399193,237,고추기름,6,1큰술
2399193,666,참기름,7,1큰술
2399193,344,멸치다시마물,8,1/2컵
2399193,226,설탕,9,1/2큰술
2399193,477,고추장,10,1큰술
2399193,481,굴소스,11,1큰술
2399193,293,맛술,12,2큰술
2399193,225,후추,13,약간
2416561,729,코다리,1,5마리
2416561,18,무,2,1/3개
2416561,2,양파,3,1개
2416561,649,풋고추,4,2개
2416561,755,진간장,5,7큰술
2416561,852,매실엑기스,6,3큰술
2416561,580,올리고당,7,2+1/2큰술
2416561,293,맛술,8,2큰술
2416561,233,다진마늘,9,1큰술
2416561,461,다진생강,10,1작은술
2416561,1005,물,11,2컵
2433227,846,그린홍합(일반홍합),1,
2433227,310,대하,2,
2433227,568,칵테일새우,3,
2433227,64,오징어,4,
2433227,46,콩나물,5,
2433227,1024,녹말물,6,
2433227,666,참기름,7,
2433227,291,깨,8,
2433227,26,대파,9,
2433227,1005,물,10,
2433227,224,고추가루,11,4큰술
2433227,233,다진마늘,12,2큰술
2433227,293,맛술,13,2큰술
2433227,551,양조간장,14,2큰술
2433227,580,올리고당,15,3큰술
2433227,501,소금,16,1/3큰술
2433227,337,멸치액젓,17,1큰술
2433227,225,후추,18,약간
2444709,437,비엔나소시지,1,1팩
2444709,552,사각어묵,2,2장
2444709,2,양파,3,1/2개
2444709,5,노랑파프리카,4,1개
2444709,383,간장,5,1+1/2큰술
2444709,224,고춧가루,6,1작은술
2444709,580,올리고당,7,1큰술
2444709,233,다진마늘,8,1큰술
2444709,331,들기름,9,1큰술
2444709,547,통깨,10,1큰술
2480375,219,달걀,1,30g
2480375,350,우리밀 중력분,2,120g
2480375,949,베이킹소다,3,1ts
2480375,197,버터,4,50g
2480375,199,땅콩버터,5,80g
2480375,226,유기농설탕,6,100g
2480375,501,소금,7,1꼬집
2480375,893,바닐라엑스트렉,8,1/2ts
2508119,361,달래,1,1묶음
2508119,2,양파,2,1/2개
2508119,33,홍고추,3,1개
2508119,224,고춧가루,4,1큰술
2508119,477,고추장,5,1큰술
2508119,233,다진마늘,6,1작은술
2508119,226,설탕,7,1/2큰술
2508119,231,식초,8,2큰술
2508119,383,간장,9,1작은술
2508119,852,매실액,10,1큰술
2521323,340,삼겹살,1,400g
2521323,26,대파채,2,약간
2521323,383,간장,3,2~3큰술
2521323,1005,물,4,5큰술
2521323,345,물엿,5,2큰술
2521323,969,생강술,6,1큰술
2521323,293,맛술,7,2큰술
2521323,603,연겨자,8,1/2작은술
2529380,10,브로콜리,1,2줌(150g)
2529380,666,참기름,3,1작은술
2529380,383,간장,4,1큰술
2529380,226,설탕,5,1/2큰술
2529380,293,맛술,6,1큰술
2568508,125,닭(볶음용),1,1마리(550g 정도)
2568508,4,감자,2,2개
2568508,2,양파,3,1/2개
2568508,8,당근,4,1/2개
2568508,305,당면,5,1줌
2568508,981,떡볶이떡,6,100g
2568508,296,청양고추,7,2개
2568508,26,대파,8,1/2대
2568508,218,우유,9,1/2컵
2568508,508,식용유,10,1큰술
2568508,666,참기름,11,1큰술
2568508,291,참깨,12,약간
2568508,1005,물,13,3컵
2568508,383,간장,14,7큰술
2568508,226,설탕,15,2큰술
2568508,345,물엿,16,1큰술
2568508,481,굴소스,17,1큰술
2568508,293,맛술,18,1큰술
2568508,225,후춧가루,19,1/2작은술
2568508,233,다진마늘,20,1큰술
2593139,18,무,1,2개(2kg)
2593139,501,소금,2,3큰술
2593139,224,고춧가루,3,5큰술
2593139,394,새우젓,4,1큰술
2593139,226,설탕,5,1큰술
2593139,28,마늘,6,1큰술
2593139,766,쪽파,7,10대
2628435,410,베이컨,1,8장
2628435,424,밥,2,1컵정도
2628435,383,간장,3,1+1/2큰술
2628435,852,매실액,4,1큰술
2628435,345,물엿,5,1/2큰술
2628435,855,청주,6,1큰술
2628435,481,굴소스,7,1작은술
2628435,225,후추,8,조금
2659680,140,바나나,1,1+1/2개
2659680,5,파프리카,2,1/2개
2659680,375,방울토마토,3,6개
2659680,41,양상추,4,2장
2659680,208,플레인 요구르트,5,100g
2659680,140,바나나,6,1/2개
2667494,855,청주(소주),2,1스푼정도
2667494,1005,물,3,적당량
2667494,233,다진마늘,4,1/2스푼
2667494,296,청양고추 작은것,5,2개
2667494,354,깨소금,6,약간
2667494,225,후추,7,약간
2667494,755,진간장,8,5스푼
2667494,293,맛술(미림),9,2스푼
2667494,226,설탕,10,1.5스푼
2667494,345,물엿,11,2스푼
2667494,1005,물,12,5~6스푼
2667494,27,생강,13,1개
2673466,507,식빵,1,2장
2673466,410,베이컨,2,4장
2673466,213,슬라이스치즈,3,1장
2673466,496,딸기잼,4,
2673466,219,달걀,5,
2673466,710,파슬리,6,
2673466,501,소금,7,
2744826,61,동태살,1,
2744826,234,밀가루,2,
2744826,219,계란,3,
2744826,440,빵가루,4,
2744826,501,소금,5,약간
2744826,423,흰후추,6,약간
2744826,228,마요네즈,7,4T
2744826,250,레몬즙,8,1T
2744826,638,다진피클,9,2T
2744826,2,다진양파,10,2T
2744826,219,삶은달걀,11,1개
2744826,501,소금,12,약간
2744826,225,후추,13,약간
2765742,923,다진 돼지고기,1,200g
2765742,327,두부,2,1모
2765742,26,대파,3,1/2뿌리
2765742,1005,물,4,2컵
2765742,224,고춧가루,5,2큰술
2765742,508,기름,6,2큰술
2765742,855,청주,7,1큰술
2765742,233,다진 마늘,8,1큰술
2765742,501,소금,9,약간
2765742,225,후춧가루,10,약간
2765742,383,간장,11,1큰술
2765742,493,두반장,12,2큰술
2765742,481,굴소스,13,1큰술
2765742,226,설탕,14,0.5큰술
2765742,387,녹말가루,15,1큰술
2765742,1005,물,16,2컵
2826128,859,등갈비,1,1kg
2826128,296,청양고추,2,2개
2826128,858,떡,3,2줌
2826128,1005,물,4,7컵
2826128,855,청주,5,1/2컵
2826128,2,양파,6,1/2개
2826128,26,대파,7,1/2뿌리
2826128,614,월계수잎,8,2장
2826128,866,통후추,9,20알
2826128,224,고춧가루,10,5T
2826128,383,간장,11,5T
2826128,233,다진마늘 매실액,12,2T
2826128,666,참기름,13,1T
2826128,345,물엿,14,2T
2826128,293,맛술,15,2T
2826128,501,소금,17,약간
2826128,225,후춧가루,18,약간
2877505,868,우동면사리,1,2봉지
2877505,619,적양파,2,1/2개
2877505,20,양배추,3,1줌
2877505,1030,푸른채소,4,1/2줌
2877505,876,새우살,5,1줌
2877505,383,간장,6,3T
2877505,231,식초,7,3T
2877505,579,올리브오일,8,3T
2877505,226,설탕,9,2T
2877505,666,참기름,10,1T
2877505,233,다진마늘,11,1T
2877505,582,연와사비,12,1ts
2877505,250,레몬즙,13,1T
2896593,66,갈치,1,1마리
2896593,18,무,2,530g
2896593,296,청양고추,3,2개
2896593,26,대파,4,1/2뿌리
2896593,1005,물,5,적당량
2896593,755,진간장,6,3큰술
2896593,477,고추장,7,1큰술
2896593,224,고춧가루,8,2큰술
2896593,293,맛술,9,2큰술
2896593,580,올리고당,10,2큰술
2896593,233,다진 마늘,11,1큰술
2896593,26,어슷 썬 대파,12,약간
2896593,1005,물,13,적당량
2917851,234,강력분,1,250g
2917851,572,인스턴트 드라이 이스트,2,3g
2917851,501,소금,3,3g
2917851,1005,미지근한 물,4,140g
2978797,234,박력분,1,150g
2978797,377,베이킹파우더,2,1/2작은술
2978797,197,버터,3,120g
2978797,226,설탕,4,120g
2978797,219,달걀,5,2개
2978797,3,고구마,6,200g
3003374,58,고등어,1,2마리
3003374,18,무,2,500g
3003374,296,청양고추,3,2개
3003374,26,대파,4,1뿌리
3003374,477,고추장,5,1큰술
3003374,224,고춧가루,6,2큰술
3003374,755,진간장,7,3큰술
3003374,293,맛술,8,2큰술
3003374,580,올리고당,9,2큰술
3003374,233,다진 마늘,10,1큰술
3003374,27,생강,11,약간
3003374,26,대파,12,약간
3003374,1005,물,13,
3022281,234,중력분,1,100g
3022281,377,베이킹파우더,3,8g
3022281,219,계란,4,1알(41g)
3022281,218,우유,5,105g
3022281,501,소금,7,1g
3022281,226,설탕,8,80g
3022281,197,버터,9,50g
3032665,83,바지락,1,1봉
3032665,296,청양고추,3,1개
3032665,33,홍고추,4,
3032665,28,마늘,5,
3032665,501,소금,6,
3032665,855,청주,7,
3032665,462,생강즙,8,
3171505,2,양파,1,30g
3171505,6,애호박 돌려깍기,2,40g
3171505,8,당근,3,40g
3171505,52,표고버섯 2개,4,40g
3171505,666,참기름,5,1T
3171505,28,마늘,6,1t
3171505,1005,물,7,600ml
3171505,501,소금,8,1t
3171937,67,대구,1,1마리
3171937,311,대합,2,1봉지(200g)
3171937,78,중새우,3,10마리
3171937,18,무,4,100g
3171937,2,양파,5,1/4개
3171937,329,호박,6,1/4개
3171937,26,대파,7,1대
3171937,33,홍고추,8,1개
3171937,327,두부,9,1/2모
3171937,296,청양고추,10,1개
3171937,54,팽이버섯,11,1/3봉지
3171937,30,쑥갓,12,약간
3171937,501,소금,13,약간
3171937,855,청주,14,3큰술
3171937,1005,물,15,6컵
3171937,344,국멸치,16,10마리
3171937,89,다시마(5*2),17,2장
3171937,18,무,18,120g
3171937,224,고춧가루,19,2큰술
3171937,233,다진마늘,20,1큰술
3171937,383,간장,21,1큰술
3171937,27,생강,22,1/2작은술
3171937,337,멸치액젓,23,1큰술
3295100,193,호두,1,300g
3295100,530,갈색설탕,2,2큰술
3295100,487,백설탕,3,3큰술
3295100,1005,물,4,5-6큰술
3296201,863,참타리버섯,1,137g
3296201,2,양파큰것,3,1/4개(54g)
3296201,549,천일염,4,약간
3296201,347,미림,5,1스푼(9g)
3296201,755,진간장,6,1작은스푼(4g)
3296201,481,전복굴소스,7,1작은스푼(8g)
3296201,226,설탕,8,1작은스푼(3g)
3296201,1005,물,9,5큰술
3296201,225,후춧가루,10,약간
3296201,233,다진마늘,11,1작은스푼
3307600,221,메추리알,1,15개
3307600,552,어묵,2,300g
3307600,296,청량고추,3,3개
3307600,33,홍고추,4,1개
3307600,862,맛간장,5,3T
3307600,233,다진마늘,6,1T
3307600,26,다진파,7,1T
3307600,345,물엿,8,1T
3307600,666,참기름,9,1T
3307600,296,청량고추 다진거,10,1T
3307600,21,홍피망,11,1T
3307600,293,맛술,12,3T
3307600,226,설탕,13,1/2T
3307600,855,청주,14,1T
3307600,1005,물,15,1T
3334221,383,간장,2,4T
3334221,226,설탕,3,3T
3334221,855,청주,4,1T
3334221,580,올리고당,5,1+1/2T
3334221,547,통깨,6,약간
3334221,89,다시마,7,1장
3355886,576,진미채,1,250g
3355886,477,고추장,2,3큰술
3355886,580,올리고당,3,3큰술
3355886,237,고추기름,4,1큰술
3355886,383,간장,5,2큰술
3355886,855,청주,6,4큰술
3355886,226,설탕,7,1큰술
3355886,228,마요네즈,8,2~3큰술
3359586,58,고등어,1,2마리
3359586,402,익은배추김치,2,1/4포기
3359586,4,감자,3,2개
3359586,2,양파,4,1/2개
3359586,26,대파,5,1개
3359586,383,간장,6,8T
3359586,962,김칫국물,7,4T
3359586,224,고춧가루,8,4T
3359586,233,다진마늘,9,1+1/2T
